,page_url,image_url,tvshow_title,year,rating,director,actors,seasons,series,genres,country,description
10,https://www.imdb.com/title/tt0362353/,"https://m.media-amazon.com/images/M/MV5BODY0ODFjOTctZTQ1ZC00YmVlLTlhYWMtZWI4NjgxZjNiMmU2XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,140_.jpg",Life in General,2003,,Johnny Kearns,"Andrew Robertson, Audria Bolin, Courtney Driver, Aaron Fiore, Michael Mario Good",1.0,1.0,"Drama, Family, Romance",United States,"Life In General is a dramatic television series that is set on the coast of North Carolina. It is a modern story of nine teenagers growing up, dealing with unique stories of choices, moral absolutes, friendship, love, values, faith, and personal tribulation."
11,https://www.imdb.com/title/tt0363328/,https://m.media-amazon.com/images/M/MV5BNmM3MWFkZjctYzBhNC00YWU1LWIzYTktZjUxMzYyNGE5MjhlXkEyXkFqcGc@._V1_.jpg,Drake &amp; Josh,2004,7.7,Dan Schneider,"Drake Bell, Josh Peck, Nancy Sullivan, Jonathan Goldstein, Miranda Cosgrove",4.0,57.0,"Comedy, Family",United States,"Two teenage boys with clashing personalities - one is a slick musician, the other a clumsy nerd - must navigate high school and family life together after becoming step-brothers."
12,https://www.imdb.com/title/tt0364774/,https://m.media-amazon.com/images/M/MV5BNTlkMDFjYzAtY2VkMy00OTk5LWFiOTUtZGZkMmRlNzA3Yzg3XkEyXkFqcGc@._V1_.jpg,Lilo &amp; Stitch: The Series,2003,6.8,,"Daveigh Chase, David Ogden Stiers, Chris Sanders, Kevin McDonald, Rob Paulsen",2.0,69.0,"Action, Adventure, Animation",United States,The rambunctious human and alien duo must hunt down Dr. Jumba Jookiba's 625 other experimental creatures infesting Hawaii.
13,https://www.imdb.com/title/tt0364778/,https://m.media-amazon.com/images/M/MV5BM2I1NWIwYWQtNzUxYi00OGIzLTlmZmMtZWRjYWY0MWUxZjI1XkEyXkFqcGc@._V1_.jpg,Ambush Makeover,2004,8.2,Benjamin Ringe,"Claudia Gates, William Whatley, Nicole Williams, Mary Alice Haney, Nancy Brensson",,31.0,"Adventure, Family, Reality-TV",United States,Real life stylists go onto the streets of major cities looking for people to give makeovers. Usually they are to be completed in time for outings that particular night.
14,https://www.imdb.com/title/tt0364830/,"https://m.media-amazon.com/images/M/MV5BODcwY2FjYTgtYjJlOC00NzJlLTlmMDUtMDAwNTQyZjg2ZWQxXkEyXkFqcGc@._V1_QL75_UY140_CR24,0,140,140_.jpg",Let&apos;s Write a Story,2004,8.6,,"Liam Hess, Michael Maloney, James Lailey, Tilly Gerrard-Bannister, Maureen Beattie",1.0,1.0,"Adventure, Documentary, Drama",United Kingdom,
15,https://www.imdb.com/title/tt0366005/,https://m.media-amazon.com/images/M/MV5BNjJlNzc4ODktOGVjYS00MTJkLTgzZTYtZGViMDNlNmM2MGE2XkEyXkFqcGc@._V1_.jpg,Danny Phantom,2004,7.2,"Steve Marmel, Butch Hartman","David Kaufman, Rickey D'Shon Collins, Grey DeLisle, Rob Paulsen, Kath Soucie",3.0,49.0,"Action, Adventure, Animation",United States,A 14-year-old receives ghost powers and uses them to save the world.
16,https://www.imdb.com/title/tt0366025/,https://m.media-amazon.com/images/M/MV5BMjIxMjMxMjM4Ml5BMl5BanBnXkFtZTcwNjM3NDYwNQ@@._V1_.jpg,Hope &amp; Faith,2003,5.5,Joanna Johnson,"Faith Ford, Kelly Ripa, Macey Cruthird, Ted McGinley, Paulie Litt",3.0,74.0,"Comedy, Family",United States,"They're sisters, but blood may be the only thing they have in common. When Faith, a soap opera diva, is killed off her show, ""The Sacred and the Sinful,"" she flees the tabloids by moving to the suburbs with her sister, Hope's, family."
17,https://www.imdb.com/title/tt0366060/,https://m.media-amazon.com/images/M/MV5BNTA4ODA4MjgtZjkxOC00MmRiLWE3YWUtZGZhMjUxNjQxMzQ2XkEyXkFqcGc@._V1_.jpg,Najbolje godine,2003,6.8,,"Marko Nikolic, Neda Arneric, Branislav 'Ciga' Jerinic, Vlastimir 'Djuza' Stojiljkovic, Jelisaveta 'Seka' Sablić",1.0,8.0,"Comedy, Drama, Family",Serbia and Montenegro,
18,https://www.imdb.com/title/tt0366082/,https://m.media-amazon.com/images/M/MV5BZjA2MmI1OGQtNzdiMi00MTcyLThlNDYtOGY0M2I0ZTRmNjZmXkEyXkFqcGc@._V1_.jpg,"Rock Me, Baby",2003,5.7,Tim Kelleher,"Dan Cortese, Bianca Kajlich, Carl Anthony Payne II, Tammy Townsend, Sean Gordon",1.0,22.0,"Comedy, Drama, Family",United States,Provocative radio shock-jock Jimmy Cox feels his life turning upside-down after he and his wife welcome their first child.
19,https://www.imdb.com/title/tt0367276/,https://m.media-amazon.com/images/M/MV5BZjRhMmJhMjgtNTNmOS00YzA0LThhODAtNDdiYzE3Njg5MDA4XkEyXkFqcGc@._V1_.jpg,All About the Andersons,2003,5.9,"Marco Pennette, Anthony Anderson, Adam Glass","Anthony Anderson, Roz Ryan, Damani Roberts, Aimee Garcia, John Amos",1.0,16.0,"Comedy, Family",United States,"A struggling actor tries to provide a good life for his young son when he makes the tough decision to move back in with his parents, but he instantly remembers why he left home in the first place."
20,https://www.imdb.com/title/tt0367294/,https://m.media-amazon.com/images/M/MV5BOTNkZDA5OTctNzRhMC00NjE4LTg0MzUtY2FkZjZjOWY3NDQzXkEyXkFqcGc@._V1_.jpg,The Blobheads,2003,5.7,Howard Busgang,"Gary Martin, Jonathan Malen, Shauna MacDonald, Geri Hall, Paula Brancati",1.0,26.0,"Animation, Comedy, Family",Canada,"A mix of live-action and CGI, the show follows Billy Barnes and three blob-headed aliens, Derek, Kerek, and Zerek. The aliens hail from the planet Blob and wish to protect the Most High Emperor of the Universe--Billy's baby brother, Silas."
21,https://www.imdb.com/title/tt0367403/,https://m.media-amazon.com/images/M/MV5BYzg1Njg3NTEtMzY2My00YzkzLWJlZGYtNjVmOTQxMTY0MGFiXkEyXkFqcGc@._V1_.jpg,Romeo!,2003,4.3,"Fracaswell Hyman, Tommy Lynch, Master P","Zachary Isaiah Williams, Romeo Miller, Master P, Erica O'Keith, Noel Callahan",3.0,52.0,"Comedy, Family",United States,"Romeo finds out what it means to be a good friend, even if it means breaking the law."
22,https://www.imdb.com/title/tt0368494/,"https://m.media-amazon.com/images/M/MV5BMTUwODI5NjA3Ml5BMl5BanBnXkFtZTYwODE5OTQz._V1_QL75_UX140_CR0,0,140,140_.jpg",Fame,2003,3.8,,"Debbie Allen, Joey Fatone, Smith Wordes, Carnie Wilson, Judy Ho",,19.0,"Family, Music, Reality-TV",United States,"Talent-contest featuring 24 dancer/singers from across the USA, hand-picked by producer Debbie Allen to compete in front of judges and a live audience for recording contracts and ""Fame""."
23,https://www.imdb.com/title/tt0368546/,https://m.media-amazon.com/images/M/MV5BZGFjNGVlYWMtY2E1OS00N2IwLTkxZTYtYjQ4M2I1ZDBkNWQ2XkEyXkFqcGc@._V1_.jpg,Stars Reunited,2003,,,"Dale Winton, Robert Hardy, Lynda Bellingham, Christopher Timothy, Mollie Sugden",2.0,10.0,"Comedy, Documentary, Family",United Kingdom,Dale Winton plays host as the casts of some of the UK's most popular TV series are reunited for the first time in years.
24,https://www.imdb.com/title/tt0369097/,"https://m.media-amazon.com/images/M/MV5BMmJiY2IzZGItMzA4Ni00OWVkLWJjZGUtZDYzNDllNjY4OGEwXkEyXkFqcGc@._V1_QL75_UX500_CR0,47,500,281_.jpg",Dinner Doctors,2003,,,"Anneka Rice, Jenni Trent Hughes",,2.0,"Documentary, Family",United Kingdom,
25,https://www.imdb.com/title/tt0369185/,"https://m.media-amazon.com/images/M/MV5BMjU5NjQyNTcwOV5BMl5BanBnXkFtZTcwMzc3NzUyMw@@._V1_QL75_UX500_CR0,26,500,281_.jpg",Where There&apos;s a Will,2004,,"Scott Carlson, Marcello Robinson",,,,"Comedy, Family",United States,"African American family from the inner-city of Los Angeles, inherits billions and move to Beverly Hills."
26,https://www.imdb.com/title/tt0371435/,"https://m.media-amazon.com/images/M/MV5BYjZhOWQ3ZjYtMmNiOC00MWRmLTk2OWYtZWRkZTY3ZGUxNzFiXkEyXkFqcGc@._V1_QL75_UX500_CR0,0,500,281_.jpg",Bubber tur/retur,2003,,,"Richard Ragnvald, Bubber",1.0,2.0,"Documentary, Family",Denmark,
27,https://www.imdb.com/title/tt0371497/,"https://m.media-amazon.com/images/M/MV5BNmFjNDZlM2QtMDVkOS00NzM3LWEwYTUtNzVhNmEwNWZkY2YxXkEyXkFqcGc@._V1_QL75_UX140_CR0,10,140,140_.jpg",Yo soy Panam,2003,3.0,,Panam,,1.0,Family,Argentina,
28,https://www.imdb.com/title/tt0372674/,https://m.media-amazon.com/images/M/MV5BM2Q0ODM4ZWUtODM0My00NWVjLTk2MDAtNWFjYjY3MTE2MTgwXkEyXkFqcGc@._V1_.jpg,Fries with That,2004,6.3,,"Anne-Marie Baron, Stéfanie Buxton, Morgan Kelly, Jeanne Bowser, Giancarlo Caltabiano",,54.0,"Comedy, Family",Canada,"Teens working at a fast food restaurant prioritize social lives over job duties, causing chaos for their assistant manager Ben as he attempts to maintain order and customer service."
29,https://www.imdb.com/title/tt0372727/,"https://m.media-amazon.com/images/M/MV5BOWU2MTY4ZWQtZjI4Zi00MjM5LTg3ZDktMTZkNTJhZGNjOTU1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,140_.jpg",Switched!,2003,6.8,,"Ryan Pinkston, Aaron Pinkston, Nicole Anderson, Cindy Oliver, Cody Oliver",,73.0,Family,United States,2 teens from different cities in the US are given a chance to swap lives to see how the other one lives.
30,https://www.imdb.com/title/tt0372728/,"https://m.media-amazon.com/images/M/MV5BMTkxODc5ODI5OV5BMl5BanBnXkFtZTcwNzExOTUyNw@@._V1_QL75_UX140_CR0,17,140,140_.jpg",Talking to Animals,2003,,,"Alyson Hannigan, Alexis Denisof, Sarah Fisher, Anthony Head",1.0,1.0,"Documentary, Family",United Kingdom,
31,https://www.imdb.com/title/tt0372976/,https://m.media-amazon.com/images/M/MV5BMGU3NDRhY2MtNDFmOC00ZGYwLWIwYjItZWZiMTJiYjgwOWU2XkEyXkFqcGc@._V1_.jpg,Die Hollies,2003,5.9,,"Willi Gerk, Dilan Sina Balhan, Daniela Hoffmann, Herbert Trattnigg, Axel Wandtke",1.0,3.0,"Adventure, Family",Germany,"Living holograms, called Hollies, are helped by their human finders to get home."
32,https://www.imdb.com/title/tt0373587/,https://m.media-amazon.com/images/M/MV5BZjBiOTNjZTgtZmJjYy00MjAyLWI1ODItYTFkYjhkZWUxMWZjXkEyXkFqcGc@._V1_.jpg,Power Rangers Dino Thunder,2004,6.9,,"James Napier Robertson, Kevin Duhaney, Emma Lahana, Jason David Frank, Katrina Devine",1.0,38.0,"Action, Adventure, Family",United States,"A team of unlikely personalities join forces to help save the Earth from the scheming Mesogog, a dinosaur-like villain who wishes to destroy humankind."
33,https://www.imdb.com/title/tt0373636/,https://m.media-amazon.com/images/M/MV5BZmZkMWZiYTEtNjkyOC00YWE5LTk0NWUtZDA3YzY5MDFkNGZmXkEyXkFqcGc@._V1_.jpg,Timeblazers,2003,8.2,Wilson Coneybeare,"Heidi Leigh, Mike Ackerman, Stephen Joffe, Jasmine Richards, Frank Jakeman",,37.0,Family,Canada,Sam and Jen help Alex find out the questions about the world.
34,https://www.imdb.com/title/tt0374412/,https://m.media-amazon.com/images/M/MV5BMzI4MTc0YzMtNjFhZS00ODAwLTkwZWYtOWE0ZWM3Yzg5NmZlXkEyXkFqcGc@._V1_.jpg,Like Family,2003,7.1,Dan Fogelman,"Holly Robinson Peete, Diane Farr, J. Mack Slaughter, Megalyn Echikunwoke, B.J. Mitchell",1.0,23.0,"Comedy, Drama, Family",United States,"Two families -- one black, one white -- who share the same house work together to overcome their differences to create a home."
35,https://www.imdb.com/title/tt0374419/,https://m.media-amazon.com/images/M/MV5BZmI3MzdjODEtYmVlOS00ZjVmLWE1ODgtYmM1Yzk4NzUzNDMyXkEyXkFqcGc@._V1_.jpg,Martin Mystery,2003,7.5,,"Sam Vincent, Kelly Sheridan, Teryl Rothery, Dale Wilson, Tabitha St. Germain",3.0,66.0,"Action, Adventure, Animation",France,"Martin and Diana, two mismatched teenagers, and Java, a massive caveman lost in time, work for an undercover bureau specializing in mysterious phenomena."
36,https://www.imdb.com/title/tt0376390/,https://m.media-amazon.com/images/M/MV5BOGRkZmNiZDgtM2VjNC00NmYwLWJlM2MtNzg3NzAzZjk2MWU0XkEyXkFqcGc@._V1_.jpg,Duck Dodgers,2003,7.7,Chuck Jones,"Joe Alaskey, Bob Bergen, Richard McGonagle, Michael Dorn, Tia Carrere",3.0,39.0,"Action, Animation, Short",United States,"Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space captain Duck Dodgers."
37,https://www.imdb.com/title/tt0377026/,https://m.media-amazon.com/images/M/MV5BOWZmNmQ1NGQtZjUwZC00NDA1LWIyODUtOTkwZmE2ZWM2ODRkXkEyXkFqcGc@._V1_.jpg,Nissernes ø,2003,5.1,,"Trine Gadeberg, Flemming Jensen, Søren Pilmark, Pia Rosenbaum, Roger Matthisen",1.0,24.0,Family,Denmark,Nissebanden is on a mission to rescue a handful of 'nisser' on the West-Indian Islands left behind by the the Danes in 1917.
38,https://www.imdb.com/title/tt0377134/,https://m.media-amazon.com/images/M/MV5BNzlhOGJmODEtYjI3Ny00NDUwLTk0ZWEtN2ExODE1MjgxYWE0XkEyXkFqcGc@._V1_.jpg,15/Love,2004,6.6,"Derek Schreyer, Karen Troubetzkoy","Laurence Leboeuf, Meaghan Rath, Max Walker, Kyle Switzer, Sarah-Jeanne Labrosse",,55.0,"Comedy, Drama, Family",Canada,Follows a group of young tennis prodigies at Cascadia Tennis Academy where they navigate adolescence amidst intense competition and high-pressure environment.
39,https://www.imdb.com/title/tt0377156/,https://m.media-amazon.com/images/M/MV5BNGY1MWVlYjktYWRkNi00MDIyLTlhMGItMTc5ZTIxYjAxNzM5XkEyXkFqcGc@._V1_.jpg,Clifford&apos;s Puppy Days,2003,6.6,Norman Bridwell,"Lara Jill Miller, Julie-Ann Dean, Masiela Lusha, Grey DeLisle, Jess Harnell",2.0,40.0,"Animation, Comedy, Family",United States,"The adventures of children's book character Clifford the Big Red Dog, set when Emily Elizabeth adopted him as a puppy."
40,https://www.imdb.com/title/tt0377190/,"https://m.media-amazon.com/images/M/MV5BMTgyMmU0MTgtMTEzZi00MDg2LTk5NWQtZTZmZTQyY2ZhNWFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,140_.jpg",Home Along da Airport,2003,,,"Dolphy, Nova Villa, Smokey Manaloto, Vandolph, Dennis Padilla",,10.0,"Comedy, Family",Philippines,
41,https://www.imdb.com/title/tt0379147/,"https://m.media-amazon.com/images/M/MV5BMzA0MzJlZWQtYThhNC00YmQ4LThmNWEtZmUwMmYwNmQwZGJkXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,140_.jpg",Tanging ina,2003,7.3,,"AiAi Delas Alas, Marvin Agustin, Nikki Valdez, Carlo Aquino, Heart Evangelista",1.0,1.0,"Comedy, Family",Philippines,
42,https://www.imdb.com/title/tt0380096/,https://m.media-amazon.com/images/M/MV5BZjI0MjQyMWYtMmU1ZS00MjJlLTg5NzMtZGMwMTAyNWE3NDNhXkEyXkFqcGc@._V1_.jpg,Chocolate com Pimenta,2003,7.6,Walcyr Carrasco,"Mariana Ximenes, Murilo Benício, Drica Moraes, Priscila Fantin, Thiago Farias",,419.0,"Comedy, Drama, Romance",Brazil,"A humble girl who rises to become a wealthy, vengeful widow returns to the small town that humiliated her and to the man she loved, bringing their young son."
43,https://www.imdb.com/title/tt0380893/,https://m.media-amazon.com/images/M/MV5BMjgxYWFlNzgtODJmNC00MDM3LWExNDgtNzBjNTBkMzVmOTU2XkEyXkFqcGc@._V1_.jpg,Fergus McPhail,2004,5.8,,"Sean Ohlendorf, Michael Harrison, Heli Simpson, Megan Harrington, Marcus Costello",1.0,26.0,Family,Australia,"The comedy series features teenager Fergus McPhail (and his irrationally optimistic alter-ego), stumbling from crisis to crisis--mostly of his own making. The stories chart a year in his life, showcasing Fergus at home with his erratic family, at school among friends, at play, and sometimes even having a win in the steeplechase of adolescence."
44,https://www.imdb.com/title/tt0380917/,"https://m.media-amazon.com/images/M/MV5BNDE4YWY1MTMtYjMwZC00MDg4LWFiNDYtM2I2NjA5MzFmNTA1XkEyXkFqcGc@._V1_QL75_UY281_CR10,0,500,281_.jpg",Klisterhjerne,2003,3.4,,"Kjetil André Aamodt, Øystein Kock-Johansen, Stian Barsnes Simonsen, Jan-Erik Larssen, Arne Hjeltnes",,2.0,"Family, Game-Show",Norway,
45,https://www.imdb.com/title/tt0380957/,https://m.media-amazon.com/images/M/MV5BMjk3NWMzZTEtNmQ5OC00MzEzLThlNWUtMjVmODkyMzU1NDY5XkEyXkFqcGc@._V1_.jpg,Sommerkoncert,2003,,,"Louise Wolff, Morten Resen, Eric Gadd, Esben Duus, David Pepke",,8.0,"Documentary, Family, Music",Denmark,
46,https://www.imdb.com/title/tt0381757/,https://m.media-amazon.com/images/M/MV5BOGZlZTcyMTUtODQxMy00YzQ0LWJmMGQtYWU1ZjA4YjI4NzlhXkEyXkFqcGc@._V1_.jpg,Generation Jets,2003,6.4,,"Tara Lipinski, Kate Simses, Chris Phillips, Kobie Powell, Herm Edwards",1.0,13.0,"Animation, Family, Sport",United States,"Jessica, XL, Aska, Spike, Willie and Blitz are avid fans of the New York Jets and will be stars of the Generation Jets television show. They will go on adventures throughout New York."
47,https://www.imdb.com/title/tt0381761/,https://m.media-amazon.com/images/M/MV5BNzcwY2ZiM2QtYTRjNC00YmRkLTkzMTItMWYyYjRhYTMzNmEzXkEyXkFqcGc@._V1_.jpg,Hard Out,2003,,Deborah Wilton,"Antony Starr, Owen Black, Rawiri Paratene, Katherine Kennard, Will Wallace",1.0,13.0,Family,New Zealand,Two slackers resist alien mind control and stop their skate park from being demolished for a mall in an energetic caper featuring Benny Castles and Antony Star.
48,https://www.imdb.com/title/tt0381771/,https://m.media-amazon.com/images/M/MV5BMGI0NGI4OGYtZTA0NS00NTI2LWFhM2EtMWU5YTM0NzYyYzg1XkEyXkFqcGc@._V1_.jpg,Jacob Two-Two,2003,6.8,,"Dwayne Hill, Jocelyn Barth, Julie Lemieux, Fiona Reid, Howard Jerome",5.0,62.0,"Animation, Family, Fantasy",Canada,The adventures of a precocious young boy in Montreal who has a habit of repeating himself.
49,https://www.imdb.com/title/tt0381772/,https://m.media-amazon.com/images/M/MV5BMTM2ODYyNTMzMF5BMl5BanBnXkFtZTcwNTUxOTIzMQ@@._V1_.jpg,Jakers! The Adventures of Piggley Winks,2003,6.8,,"Katie Leigh, Maria Darling, Peadar Lamb, Russi Taylor, Tara Strong",,55.0,"Adventure, Animation, Comedy",United States,Grandad tells his grandchildren about his adventures as a boy.
50,https://www.imdb.com/title/tt0381774/,https://m.media-amazon.com/images/M/MV5BODIzMDJkOTAtODMyMC00OGFlLWE3ZmItYWQ0ZmQ3OTYyNTAxXkEyXkFqcGc@._V1_.jpg,Kenny the Shark,2003,6.7,,"Jim Conroy, Madison Arnold, Peter Fernandez, Russell Horton, Oliver Wyman",2.0,26.0,"Animation, Comedy, Family",United States,An anthropomorphic tiger shark named Kenny is tired of being a predator and wants to live with a suburban family.
51,https://www.imdb.com/title/tt0381778/,https://m.media-amazon.com/images/M/MV5BNzdjOGZkYjEtZWMxZi00NmMzLWI0YjQtNjllOTA1MzkxNWI4XkEyXkFqcGc@._V1_.jpg,Living It Up! With Ali and Jack,2003,5.3,,"Jack Ford, Alexandra Wentworth, Cameron Mathison, Jay Wilkison, Evan Farmer",,18.0,"Family, Talk-Show",United States,Alexandra Wentworth and Jack Ford host various celebrities.
52,https://www.imdb.com/title/tt0381780/,https://m.media-amazon.com/images/M/MV5BMzNjZjE0MGMtMGIxMy00NGEwLTg2ZDgtZTI0NTBlYzdkODlmXkEyXkFqcGc@._V1_.jpg,Los Lunnis,2003,5.2,Daniel Cerdà,"Lucrecia, Sergio Mur, Àlex Casademunt, Christian Rodrigo, Joan Bentallé",,486.0,Family,Spain,
53,https://www.imdb.com/title/tt0382401/,"https://m.media-amazon.com/images/M/MV5BNDhiYjU0NzAtNmU0ZC00YWU4LTgxMWEtNzUwMzFiMzIwYjVkXkEyXkFqcGc@._V1_QL75_UY140_CR30,0,140,140_.jpg",Bark-Off,2003,,,"Livinia Nixon, Russell Gilbert, Ian 'Molly' Meldrum, Rose Hancock-Porteous, Ross Daniels",1.0,6.0,Family,Australia,
54,https://www.imdb.com/title/tt0382453/,https://m.media-amazon.com/images/M/MV5BN2ExMzE4ODEtODQ4OS00NmU3LTkxNjgtNjUwOTBiYzAwNTA1XkEyXkFqcGc@._V1_.jpg,Max clan,2003,,,"Daniel Diges, Sheila González, Pilar Mesagar, Patricia Gómez, Javier Sesmilo",,68.0,Family,Spain,
55,https://www.imdb.com/title/tt0382477/,https://m.media-amazon.com/images/M/MV5BMTU4Mjk3MjUzOF5BMl5BanBnXkFtZTcwOTMwMTUyMQ@@._V1_.jpg,SD Gundam Force,2003,4.1,Yoshiyuki Tomino,"Rick Zieff, Yuri Lowenthal, Dominic Catrambone, Daisuke Namikawa, Deborah Sale Butler",2.0,52.0,"Animation, Comedy, Family",Japan,A Gundam series with super deformed robots.
56,https://www.imdb.com/title/tt0382482/,https://m.media-amazon.com/images/M/MV5BYmM2ZTY3MmMtZDViOS00MWQ3LThiZjQtMWUxZmQyYjA2ZDg3XkEyXkFqcGc@._V1_.jpg,The Sleepover Club,2003,6.5,Sue Rose,"Basia A'Hern, Ashleigh Chisholm, Caitlin Stasey, Eliza Taylor, Hannah Wang",2.0,52.0,"Adventure, Drama, Family",Australia,"In an effort to solidify their friendship, five young girls have decided to start a sleepover club, promising that they will take turns having sleepovers once a week."
57,https://www.imdb.com/title/tt0382506/,"https://m.media-amazon.com/images/M/MV5BNDJkYTVjYmMtY2RjZS00OTY3LWFlM2EtN2Y3MDQ1ZjAyYjdhXkEyXkFqcGc@._V1_QL75_UY140_CR26,0,140,140_.jpg",The X,2003,5.3,,"Garrett Clark, Brandon Lankar, Dakota Morton, David Reale, Ramona Pringle",,190.0,"Comedy, Family",Canada,"A children's program on the CBC. The show usually has comedic skits, interviews, and gags."
58,https://www.imdb.com/title/tt0382690/,https://m.media-amazon.com/images/M/MV5BZTJlMWI4YmQtZDg1ZC00ZGNmLTk3YjAtYTg4Njc2ZmQxMWRhXkEyXkFqcGc@._V1_.jpg,Feather Boy,2004,7.3,,"Omari Carter, Lindsey Coulson, Sheila Hancock, Daisy Head, Aaron Taylor-Johnson",1.0,6.0,"Drama, Family",United Kingdom,"Robert Noble, a bullied child who has premonitions, visits an old people's home and meets an elderly lady who asks him to go to Chance House and solve the mystery of the young boy who supposedly fell to his death there."
